,name,country,lng,lat,humidity,wind,clouds,temp_max
0,Clyde River,CA,-68.59,70.47,100,18.34,90,33.8
1,Saint-Philippe,RE,55.77,-21.36,64,8.05,36,69.8
2,East London,ZA,27.91,-33.02,76,11.81,21,64.49
3,Puerto Ayora,EC,-90.35,-0.74,87,4.0,54,71.01
4,Bredasdorp,ZA,20.04,-34.53,93,3.36,100,50.0
5,Hilo,US,-155.09,19.73,58,12.75,1,86.0
6,Avarua,CK,-159.78,-21.21,53,5.82,100,75.2
7,Dekar,BW,21.93,-21.53,32,9.69,0,66.78
8,Provideniya,RU,-173.3,64.38,81,22.37,90,44.6
9,Cabo San Lucas,MX,-109.91,22.89,70,16.11,5,87.8
10,Eyl,SO,49.82,7.98,67,12.59,19,79.02
11,Longyan,CN,117.02,25.11,55,3.0,66,77.0
12,Auki,SB,160.7,-8.77,60,2.04,4,89.19
13,Kapaa,US,-159.32,22.08,78,12.75,40,84.99
14,Krasnosel'kup,RU,82.47,65.7,97,12.06,100,27.66
15,Nikolskoye,RU,30.79,59.7,86,8.95,75,37.99
16,Shcherbynivka,UA,37.79,48.39,64,3.18,100,57.45
17,Nurota,UZ,65.69,40.56,56,4.7,0,44.6
18,Christchurch,NZ,172.63,-43.53,47,24.16,0,57.2
19,Chui,UY,-53.46,-33.7,91,7.43,100,58.06
20,Jamestown,US,-79.24,42.1,100,9.17,90,46.99
21,Bokoro,TD,17.06,12.38,58,7.23,86,82.22
22,Ust'-Ilimsk,RU,102.66,58.0,94,10.6,42,23.0
23,Hobart,AU,147.33,-42.88,53,5.82,75,54.0
24,Rikitea,PF,-134.97,-23.12,75,15.57,100,74.37
25,Hithadhoo,MV,73.08,-0.6,73,19.28,100,82.45
26,Adrar,MR,-10.07,20.5,13,9.78,22,88.27
27,Iqaluit,CA,-68.51,63.75,93,3.36,90,35.6
28,Vaini,TO,-175.2,-21.2,78,8.05,75,78.8
29,Guerrero Negro,MX,-114.06,27.98,66,15.73,8,79.65
30,Mizdah,LY,12.98,31.45,26,3.8,9,66.76
31,Tuktoyaktuk,CA,-133.04,69.45,85,11.41,90,19.4
32,Broome,US,-75.83,42.25,76,12.75,90,57.99
33,Tapejara,BR,-52.01,-28.07,75,9.42,0,60.42
34,George Town,MY,100.34,5.41,88,4.25,40,77.0
35,Sirte,LY,16.59,31.21,29,14.67,0,82.2
36,Ponta do Sol,PT,-17.1,32.67,72,8.05,75,68.0
37,Galveston,US,-94.97,29.37,69,9.17,1,80.6
38,Alugan,PH,125.48,12.22,81,1.48,100,81.7
39,Bengkulu,ID,102.27,-3.8,74,3.09,45,80.91
40,Lebu,CL,-73.65,-37.62,79,12.37,0,50.85
41,Ribeira Grande,PT,-28.7,38.52,83,14.27,96,69.3
42,Yellowknife,CA,-114.35,62.46,63,21.92,75,26.6
43,Pacific Grove,US,-121.92,36.62,24,3.36,1,84.2
44,Carnarvon,AU,113.63,-24.87,73,19.46,0,69.8
45,Lüderitz,NA,15.16,-26.65,41,13.15,0,67.35
46,Porto Santo,PT,-16.34,33.07,72,3.36,20,66.2
47,Ostrovnoy,RU,39.51,68.05,80,13.58,100,36.86
48,Bethel,US,-73.41,41.37,77,6.93,1,61.0
49,Puerto Quijarro,BO,-57.77,-17.78,91,5.03,100,71.31
50,Sinnamary,GF,-52.95,5.38,80,12.5,73,80.49
51,Visnes,NO,5.22,59.36,75,6.93,0,46.4
52,Hongjiang,CN,110.0,27.11,91,3.53,100,57.88
53,Paris,FR,2.35,48.85,76,9.17,90,50.0
54,Del Rio,US,-100.9,29.36,26,8.05,1,84.2
55,Airai,TL,125.41,-8.93,40,2.1,98,77.77
56,Progreso,MX,-89.67,21.28,69,10.25,5,80.6
57,Barrow,US,-156.79,71.29,68,5.82,90,28.4
58,Leningradskiy,RU,178.42,69.38,90,17.78,100,35.47
59,Abu Samrah,SY,37.18,35.3,91,6.17,0,61.34
60,Port Lincoln,AU,135.87,-34.73,82,7.94,100,58.86
61,Vao,NC,167.48,-22.67,80,15.57,100,71.64
62,Saint George,US,-113.58,37.1,12,12.75,1,82.99
63,Arlit,NE,7.39,18.74,12,8.01,0,89.28
64,Dongobesh,TZ,35.38,-4.07,90,9.89,64,57.07
65,Tasiilaq,GL,-37.64,65.61,87,8.05,100,42.8
66,Tuatapere,NZ,167.68,-46.13,55,11.99,100,59.0
67,Tiksi,RU,128.87,71.69,98,3.65,100,23.7
68,Qaanaaq,GL,-69.36,77.48,83,6.26,54,24.93
69,Springbok,ZA,17.89,-29.66,28,4.68,0,63.82
70,Puerto Peñasco,MX,-113.53,31.32,76,1.99,26,84.99
71,Whitehorse,CA,-135.05,60.72,64,17.22,40,39.2
72,Narasannapeta,IN,84.05,18.42,90,4.68,93,77.16
